issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2023-04-15T08:00:00.000000-0400,2023-04-30T01:43:42.393000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JDN4984,0,0.0,NY,4836750209,PHTO SCHOOL ZN SPEED VIOLATION,,07:29A
2025-01-07T10:00:00.000000-0500,2025-01-12T02:37:33.092000-0500,0.0,MN,50.0,0.23,DEPARTMENT OF TRANSPORTATION,,PAS,75.17,25.0,LRJ9435,0,0.06,NY,4933026210,PHTO SCHOOL ZN SPEED VIOLATION,,04:39P
2024-07-31T08:00:00.000000-0400,2024-08-11T01:35:40.742000-0400,0.0,QN,50.0,1.08,DEPARTMENT OF TRANSPORTATION,,PAS,75.95,25.0,KKD8032,0,0.13,NY,4910203450,PHTO SCHOOL ZN SPEED VIOLATION,,09:33P
2025-05-02T08:00:00.000000-0400,2025-05-12T20:28:07.455000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LUL1810,0,0.0,NY,4946075197,PHTO SCHOOL ZN SPEED VIOLATION,,02:30P
2024-05-22T08:00:00.000000-0400,2024-06-02T01:46:27.725000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,GZY4023,0,0.0,NY,4898814396,PHTO SCHOOL ZN SPEED VIOLATION,,10:34A
2023-04-13T08:00:00.000000-0400,2023-04-28T16:53:57.605000-0400,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,BG12678,0,0.0,CT,4835913929,PHTO SCHOOL ZN SPEED VIOLATION,,03:56A
2024-11-25T10:00:00.000000-0500,2024-12-01T02:45:30.375000-0500,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,MFD2024,0,0.0,PA,4927346092,PHTO SCHOOL ZN SPEED VIOLATION,,02:22A
2023-08-07T08:00:00.000000-0400,2023-08-14T20:33:24.346000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,AEU4660,0,0.0,NY,4856379458,PHTO SCHOOL ZN SPEED VIOLATION,,01:14P
2023-06-18T08:00:00.000000-0400,2023-06-25T01:41:42.981000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KLM4403,0,0.0,NY,4846697540,PHTO SCHOOL ZN SPEED VIOLATION,,09:16P
2024-11-08T10:00:00.000000-0500,2024-11-17T02:44:39.741000-0500,0.0,MN,50.0,2.47,DEPARTMENT OF TRANSPORTATION,,PAS,77.38,25.0,MGV1376,0,0.09,PA,4925116289,PHTO SCHOOL ZN SPEED VIOLATION,,07:04A
2023-11-21T10:00:00.000000-0500,2023-12-03T02:45:07.697000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LCX3784,0,0.0,NY,4874108416,PHTO SCHOOL ZN SPEED VIOLATION,,10:29A
2023-01-01T10:00:00.000000-0500,2023-01-08T02:40:24.555000-0500,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,GYC5788,0,0.0,NY,4820377085,PHTO SCHOOL ZN SPEED VIOLATION,,12:03P
2023-07-18T08:00:00.000000-0400,2023-07-29T09:37:57.497000-0400,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,RKH3292,0,0.0,TX,4852626042,PHTO SCHOOL ZN SPEED VIOLATION,,07:33P
2025-09-01T08:00:00.000000-0400,2025-09-07T01:45:19.540000-0400,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,DKY5548,0,0.0,NY,4963190450,PHTO SCHOOL ZN SPEED VIOLATION,,10:20A
